기업명,대표자명,공고 키워드,이메일,홈페이지,출처
(주)코리아하이텍,여승훈/오석철,경영지원,info@koreahitek.co.kr,http://www.koreahitek.co.kr,saramin
(주)디지트론,이종국,경영지원,digitron@digitron.kr,http://www.digitron.kr,saramin
(주)플렉스시스템,이충환,경영지원,flexsystem@flexsystem.co.kr,http://www.flexsystem.co.kr,saramin
(주)옵스,김상용,경영지원,hr@ops.co.kr,http://ops.co.kr,saramin
대한출판문화협회,김태헌,경영지원,webmaster@kpa21.or.kr,http://www.kpa21.or.kr,saramin
(주)하이업엔터테인먼트,최진우,경영지원,info@highup-ent.com,http://highup-ent.com,saramin
(주)넷플렉스,안기영,경영지원,help@netplex.co.kr,http://www.netplex.kr,saramin
(주)에스와이시스템,허웅,경영지원,info@sysystem.co.kr,http://www.sysystem.co.kr,saramin
(주)오션마린서비스,김종문,경영지원,ocean@oceanma.com,http://www.oceanma.com,saramin
에빈코리아(유),박준오,경영지원,ebinkorea@ebinnewyork.com,http://www.ebinkorea.com,saramin
우일씨앤텍(주),김성우/김장중,경영지원,sales@wooilcnt.com,http://www.wooilcnt.com,saramin
(주)한국체인모터,배열승/배윤식,경영지원,tech@hcmfa.com,http://www.hcmfa.com,saramin
(주)리하온,황재윤,경영지원,lihaon@lihaon.co.kr,http://www.lihaon.co.kr,saramin
(주)씨넷,류윤기,경영지원,sales@sea-net.co.kr,http://www.sea-net.co.kr,saramin
해솔정보통신(주),남영우/최복남,경영지원,help@url.kr,http://url.kr/y7omn8,saramin
(주)에땅,공동관,경영지원,info@pizzaetang.com,http://www.pizzaetang.com,saramin
농업회사법인(주)우와돈,이경옥,경영지원,woowadon21@nate.com,http://www.woowadon.com,saramin
(주)세렉스,정양구,경영지원,master@selecs.co.kr,http://www.selecs.co.kr,saramin
씨엔에스(주),김호연,경영지원,webmaster@cnsinc.co.kr,http://www.cnsinc.co.kr,saramin
(주)에이로봇,엄윤설,경영지원,arobotmaster@arobot4all.com,http://www.arobot4all.com,saramin
(주)인코스파트너스,박영수,경영지원,kevin@incoskorea.com,http://www.incoskorea.com,saramin
현대로템㈜현대자동차그룹,김한준,경영지원,enquiry@jejudreamtower.com,https://www.jejudreamtower.com/,jobkorea
롯데오토케어㈜롯데그룹,김한준,경영지원,enquiry@jejudreamtower.com,https://www.jejudreamtower.com/,jobkorea
한국남부발전한국전력공사그룹,김한준,경영지원,enquiry@jejudreamtower.com,https://www.jejudreamtower.com/,jobkorea
플레이디(구 엔서치마케팅),조명진,경영지원,master@playd.com,http://www.playd.com/w/index.html,jobkorea
토스씨엑스,강진석,경영지원,support@toss.im,http://tosscx.com,jobkorea
SM삼환기업㈜,김한준,경영지원,enquiry@jejudreamtower.com,https://www.jejudreamtower.com/,jobkorea
㈜홈앤쇼핑,권진미,경영지원,hns@hnsmall.com,http://www.hnsmall.com,jobkorea
대성산업㈜대성그룹,김한준,경영지원,enquiry@jejudreamtower.com,https://www.jejudreamtower.com/,jobkorea
브이엠에스솔루션스,김병희,경영지원,sales@vms-solutions.com,http://www.vms-solutions.com,jobkorea
